"","Country","seatprop","ger_tertiary","ger_secondary","molten.flfpr","molten.gdp","molten.gni","molten.pop","ml_wagespaid1","ml_length1","fertility"
"204","Heavily indebted poor countries (HIPC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4599333331526
"205","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6854588512336
"206","Hong Kong SAR, China",NA,NA,NA,52.5698821123909,220356490399.693,46018.8235294118,6791078.05555556,NA,NA,1.07327777777778
"207","IBRD only",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19373004737694
"208","IDA & IBRD total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69848000925261
"209","IDA blend",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60386215933268
"210","IDA only",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50467469664997
"211","IDA total",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5380027171406
"212","Iran, Islamic Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91977777777778
"213","Isle of Man",NA,NA,NA,NA,4848867203.95561,NA,80367.1111111111,90,26,1.65
"214","Korea, Dem. People’s Rep.",NA,NA,NA,75.096705717199,NA,NA,23666067.2222222,NA,NA,1.95183333333333
"215","Korea, Rep.",NA,NA,NA,50.4127646053539,1005179270819.54,28882.3529411765,48014675.9444444,NA,NA,1.20422222222222
"216","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37166666666667
"217","Kyrgyz Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82777777777778
"218","Lao PDR",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34994444444444
"219","Late-demographic dividend",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71288444851744
"220","Latin America & Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27251317286616
"221","Latin America & Caribbean (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28953205792956
"222","Latin America & the Caribbean (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29020546700403
"223","Least developed countries: UN classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6146949052045
"224","Low & middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70708440605421
"225","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24526766768921
"226","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07919749287716
"227","Macao SAR, China",NA,NA,NA,62.3135883106905,28031669614.0668,77710.5882352941,509294.166666667,NA,NA,1.03488888888889
"228","Micronesia, Fed. Sts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61355555555556
"229","Middle East & North Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93319111783918
"230","Middle East & North Africa (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94711033250758
"231","Middle East & North Africa (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93156425147835
"232","Middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46496955998447
"233","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27216666666667
"234","New Caledonia",NA,NA,NA,59.0685290168314,NA,NA,238439.444444444,NA,NA,2.22166666666667
"235","North America",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92795813301113
"236","Northern Mariana Islands",NA,NA,NA,NA,1008750000,NA,53293.7222222222,NA,NA,NA
"237","Not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","OECD members",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77055384188227
"239","Other small states",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32097900296697
"240","Pacific island small states",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6379865614002
"241","Post-demographic dividend",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63215025935223
"242","Pre-demographic dividend",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63639688010318
"243","Slovak Republic",NA,NA,NA,51.4728236478918,78375657204.8038,22200.5882352941,5321050.77777778,NA,NA,1.33333333333333
"244","Small states",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10017567836484
"245","South Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8949960802743
"246","South Asia (IDA & IBRD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8949960802743
"247","St. Kitts and Nevis",NA,NA,NA,NA,697756692.972824,22934.7058823529,48673.0555555556,NA,NA,2.107
"248","St. Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65133333333333
"249","St. Martin (French part)",NA,NA,NA,NA,NA,NA,33487.0555555556,NA,NA,1.82055555555556
"250","St. Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10861111111111
"251","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.30832987864907
"252","Sub-Saharan Africa (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.30870250490229
"253","Sub-Saharan Africa (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.30832987864907
